userName,score,content,at
Ndahh Star,1,"tetiba crash, gabisa dibuka, sudah di install ulang bisa digunakan sekali stelah itu crash lagi gabisa dibuka. aneh. QAnya kaga bener ini, bisa2nya aplikasi crash lolos pengujian.",2025-11-17 02:11:02
Putri Difa Eka ramadhani,5,aplikasi bagus,2025-11-17 01:58:19
Edi Supriyanto,5,bagus,2025-11-17 01:53:45
Fauzi Setiawan,1,Ini pegadaian IT nya cuma ngopi doang ama ngerokok ya? abis update malah gabisa login. gimana mau percaya?,2025-11-17 01:46:58
Aqsya Amel,1,"aplikasi pembiayaan terburuk yang pernah saya pakai, membingungkan, terkesan tidak profesional, tidak jelas, menu2 kacau parah, bisa terjebak, buruk sekali. aplikasi terburuk yang pernah saya pakai. kepada pegadaian tolong diganti saja. jangan dipakai eksperimen.",2025-11-17 01:33:50
Handy Sugiyanto,5,sangat membantu untuk membeli barang berharga tanpa harus datang ke tempat penjualnya langsunh,2025-11-17 01:17:12
Eris Risnawati,3,"aplikasi masih ribet,, mulai dari cif dan memasukkan data bank yang selalu tidak terdaftar nyobain hubungi call center ujung ujungnya harus ke cabang juga",2025-11-17 00:45:35
Adi Bklu,3,"kenapa sekarang mau masuk tring susah, harus instal ulang terus.. bagus aplikasi sblmnya jarang eror",2025-11-17 00:42:03
ahmad kharis,1,"saya 2 kali uninstall kemudian menginstall ulang aplikasi tring untuk bisa masuk aplikasi karena crush. Padahal jaringan stabil. Mohon untuk diperbaiki, saya rasa pegadaian digital lebih bagus soal kehandalan aplikasi.",2025-11-17 00:40:06
Mirnaa Watii,5,Tambah Gampang Bangett.Makasihh Pegadaian,2025-11-17 00:29:55
Jannatun Hayati,1,kenapa jadi gini aplikasinya susah login nya kadang aplikasi eror lebih suka yg versi lamanya,2025-11-16 23:43:08
Sinelsa Wulandari Sany,3,"saya mau coba masuk dan buat user id kenapa otp tidak masuk sms??? bisa rubah ke wa ga sih apa email, masa cm 1 pilihan, ke sms pun ga bsa",2025-11-16 22:47:52
Raeyan Alkairo,3,kenapa tidak bisa lagi dibuka,2025-11-16 22:47:27
Mister Bean,5,sangat luar biasa apknya,2025-11-16 21:46:29
Dario Oyyy,5,ok,2025-11-16 21:32:30
Wan Kullbet,5,apknya bagus cuman kenapa pas masuk forclose yaa,2025-11-16 21:30:46
Leni aryanti,5,bagus,2025-11-16 20:17:58
Sity Aiisha,1,"aplikasi tring saya tiba"" ngga bisa d buka... mana saya lg cicil emas dan mau bayar malah susah masuk... gimana solusi nya?",2025-11-16 19:48:18
Jajang Jajang,5,bagus,2025-11-16 19:42:41
Kenzie TekniK,5,Aplikasi yang sangat membantu Finansia,2025-11-16 19:34:02
Alisa Veri Ananda,5,aplikasi yang sangat bagus.,2025-11-16 19:10:11
Indo Rimba,5,mantabs,2025-11-16 18:52:15
Djoeragan Aja,5,Keren,2025-11-16 18:33:09
Syarifa Hidayah,1,"Install aplikasi ini tujuannya agar mudah melakukan pembayaran tapi aktualnya gagal terus melakukan pembayaran online, disarankan oleh CS cabang untuk update aplikasi dan alternatif bank lain sudah dilakukan masih tidak bisa. Akhirnya tetap bayar secara offline, pas cek di aplikasi tidak terupdate juga. Kalau belum siap sistemnya dan aplikasi knowledge di personel tiap cabang mending ga usah saranin download aplikasinya deh. Perbaiki dulu sistemnya.",2025-11-16 18:21:34
Ema Felix,5,Mudah di mengerti,2025-11-16 18:11:35
Marcduyy,5,good,2025-11-16 17:26:38
Afifah Jahra,4,kenapa gabisa masuk aplikasi ya? ke close terus 😭,2025-11-16 17:00:13
tukhfatul afida,1,"dahlah apk aneh, tidak lengkap menu nya",2025-11-16 16:57:45
RestA Ghanzz,5,aplikasi nya sangat membantu,2025-11-16 16:57:18
iki munawar,5,bagus banget,2025-11-16 16:50:04
Alfarez Alrasid,4,kasih bintang ⭐⭐⭐⭐ soalnya baru coba apk ini.,2025-11-16 16:44:11
Puntuk Raya,5,mantab,2025-11-16 16:39:53
M Nabil,5,bagus,2025-11-16 16:35:32
Marvel Ardiansah,5,baguss sekalii mantap,2025-11-16 16:26:55
uchiha “S1 Xora꧁༺A” Xero,5,mantap sukses selalu,2025-11-16 16:20:11
Rizky Amalia,5,Sangat bagus sekali,2025-11-16 16:15:51
putri indah,1,kenapa setelah di download tidak bisa di buka ???,2025-11-16 16:11:38
willy aldilas,1,idah d uninstal terus instal lg tetp aja g bisa d akses..🤦🤦🤦,2025-11-16 15:58:55
Zahwa Fitra,5,BagusMbatu,2025-11-16 15:24:05
DHA_VID RJN,5,coba dulu,2025-11-16 15:17:08
Komang Wijaya,5,keren,2025-11-16 15:02:43
Arya Firmansyah,5,sangat bagus,2025-11-16 15:01:44
Pik Ri,5,bisa membantu klu amanah,2025-11-16 14:31:54
